,burning_cost,frequencia,severidade,ibnr
2014,1020.7575746329608,0.03645427893373729,28001.035941168535,521847.95695542544
2015,1259.0943042821198,0.04665116153553583,26989.55959163039,687852.2486373484
2016,1052.3484373297442,0.04529253022777518,23234.4810951719,687854.3806913793
2017,1229.4139608543499,0.05488268848996652,22400.76050718812,858504.4032085687
2018,1287.2297031115445,0.052006514877829646,24751.31637133197,837919.1680287421
2019,1058.4318920251424,0.045732958277181386,23143.744290717586,1999966.5372340083
2020,1060.5138251110495,0.046799314647940043,22660.883670819523,6608054.546629772
2021,1083.2320938463079,0.054724248142232014,19794.371428016966,16107557.873861797
2022,1206.8049798900731,0.06297264059617279,19163.957052857295,37266134.96854521
2023,1096.088731431953,0.05424745254805335,20205.349374904163,56346895.188250214
