,burning_cost,frequencia,severidade,ibnr
2014,2677.3224417762617,0.05642612204067661,47448.280068692766,510980.205704093
2015,2341.334311788535,0.04803455268238821,48742.71084129366,448037.9984405637
2016,2305.774694351517,0.04557350680386277,50594.62955692674,437835.2972805053
2017,1964.4929337660255,0.04575510545915923,42934.944943346745,452767.3566056937
2018,1930.3327470880026,0.040306205693175445,47891.700890487,1174388.2192969024
2019,2123.188563029994,0.05051212345253469,42033.247028807156,3864665.3493584394
2020,2248.0192289405827,0.05489086194581956,40954.343751415436,7222899.1309209615
2021,2356.4372203660355,0.05636354841547763,41807.82237122156,19557999.851630926
2022,1907.7284522954742,0.04901740546017697,38919.40902187006,36722679.67388302
2023,1985.4268509812723,0.05080311157565548,39080.81197004232,71835280.09369905
