,burning_cost,frequencia,severidade,ibnr
2014,4891.1340992755995,0.06504496200003244,75196.20196369951,17584.147689267993
2015,3790.518769856168,0.05395822861279162,70249.13284417138,16075.893830731511
2016,3808.915662680702,0.05287779884678359,72032.41711549398,12349.211490824819
2017,4891.666384706293,0.07635174421402374,64067.51325803801,10037.88383591175
2018,4047.2663452742436,0.06357986873638448,63656.41241027191,7337.614002853632
2019,3809.0489248200115,0.06046034098334015,63000.78469404589,6080.491087809205
2020,3561.5095662686435,0.060383212528792446,58981.783464574924,3893.443036004901
2021,2076.2005152793226,0.03481452961100661,59636.03525531857,3086.207069724798
2022,922.3646835973237,0.014989879109693103,61532.49648296916,1263.982097748667
2023,347.8094161028146,0.005897795591733336,58972.782405399535,1318.8452505040914
